Existence of educational resources - exists,Type and size of educational resources - vocational institute,Existence of educational resources - does not exist,Nb of universities by type LebaneseUniversity branches,Public school coverage index number of schools per citizen,Type and size of educational resources - public schools,Type and size of educational resources - universities,Town,Nb of universities by type - Private universities,Type and size of educational resources - private schools
0,0,1,0,0,0,0, Bireh,0,0
0,0,0,0,0,0,0,A'ain El-Mir (El Establ),0,0
1,0,0,0,2250,1,0,AAridet Cheikh Zennad,0,0
0,0,1,0,0,0,0,Aaba,0,0
1,0,0,0,4000,2,0,Aabadiyeh,0,0
0,0,1,0,0,0,0,Aabaydat,0,0
0,0,0,0,0,0,0,Aabba,0,0
1,3,0,0,21500,2,1,Aabbesiyyi,1,14
1,0,0,0,0,0,0,Aabdine,0,1
1,0,0,0,15000,1,0,Aabra Saida,0,3
0,0,1,0,0,0,0,Aabrine,0,0
1,0,0,0,0,0,0,Aachach,0,2
0,0,0,0,0,0,0,Aachqout,0,0
0,0,1,0,0,0,0,Aadaysseh Marjaayoun,0,0
0,0,0,0,0,0,0,Aadchit Ech-Chqif,0,0
0,0,1,0,0,0,0,Aadchit El-Qoussair,0,0
0,0,0,0,0,0,0,Aadloun,0,0
1,0,0,0,1790,1,0,Aadoussiyeh,0,0
0,0,1,0,0,0,0,Aafsdiq,0,0
1,0,0,0,2500,2,0,Aain Aanoub,0,0
1,0,0,0,700,1,0,Aain Aarab Rachaya,0,0
1,0,0,0,2170,1,0,Aain Aata,0,0
0,0,0,0,0,0,0,Aain Dara,0,0
1,1,0,1,4260,1,1,Aain Drafil,0,1
1,0,0,0,2000,1,0,Aain Ed-Delb,0,2
0,0,1,0,0,0,0,Aain Ed-Delbe,0,0
0,0,1,0,0,0,0,Aain Ej-Jdideh Aaley,0,0
0,0,1,0,0,0,0,Aain El Saydeh,0,0
0,0,1,0,0,0,0,Aain El-Ghouaybeh,0,0
0,0,0,0,0,0,0,Aain El-Kharroubeh,0,0
0,0,1,0,0,0,0,Aain El-Qabu,0,0
0,0,0,0,0,0,0,Aain Er-Rihane,0,0
0,0,1,0,0,0,0,Aain Er-Roummaneh Aaley,0,0
1,1,0,0,2000,2,0,Aain Es-Sindiane,0,1
0,0,1,0,0,0,0,Aain Et-Teffaha,0,0
0,0,1,0,0,0,0,Aain Et-Tineh-Miniyeh,0,0
1,0,0,0,3500,1,0,Aain Ez-Zeit,0,1
0,0,1,0,0,0,0,Aain Ez-Zeitouneh,0,0
0,0,1,0,0,0,0,Aain Fraidis,0,0
0,0,1,0,0,0,0,Aain Harsha,0,0
0,0,1,0,0,0,0,Aain Ibl,0,0
0,0,1,0,0,0,0,Aain Jarfa,0,0
0,0,1,0,0,0,0,Aain Jrain,0,0
0,0,1,0,0,0,0,Aain Kfaa,0,0
1,0,0,0,5000,1,0,Aain Kfar Zabad,0,0
0,0,1,0,0,0,0,Aain Ksour,0,0
0,0,1,0,0,0,0,Aain Mouaffaq,0,0
1,0,0,1,2140,1,1,Aain Ouzain,0,0
0,0,0,0,0,0,0,Aain Qana,0,0
0,0,1,0,0,0,0,Aain Qania,0,0
1,0,0,0,3000,1,0,Aain Qinia,0,0
0,0,0,0,0,0,0,Aain Saadeh,0,0
1,1,0,0,566,3,0,Aain Tinta,0,6
0,0,1,0,0,0,0,Aain Traz,0,0
1,1,0,0,3150,1,0,Aain Yaaqoub,0,0
1,2,0,0,1500,2,0,Aain Zebdeh,0,2
0,0,1,0,0,0,0,Aain Zhalta,0,0
0,0,1,0,0,0,0,Aain challal,0,0
0,0,0,0,0,0,0,Aainbal,0,0
1,0,0,0,1000,1,0,Aaita Ej-Jabal,0,0
1,0,0,0,6800,1,0,Aaiyat,0,0
0,0,0,0,0,0,0,Aajaltoun,0,0
1,1,0,0,4400,5,0,Aakkar El-Aatiqa,0,7
0,0,1,0,0,0,0,Aaley,0,0
1,0,0,0,3000,1,0,Aaley Bsatine,0,1
0,0,1,0,0,0,0,Aali En-Nahri,0,0
0,0,1,0,0,0,0,Aalma,0,0
1,0,0,0,375,2,0,Aalma Ech-Chaab,0,1
0,0,1,0,0,0,0,Aalman,0,0
0,0,1,0,0,0,0,Aalmane Ech-Chouf,0,0
1,0,0,0,3000,1,0,Aamaret El-Baykat,0,0
1,1,0,0,1500,5,0,Aamayer,0,0
0,0,1,0,0,0,0,Aamchit,0,0
1,0,0,0,4300,1,0,Aammatour,0,0
0,0,1,0,0,0,0,Aammiq Ech-Chouf,0,0
0,0,1,0,0,0,0,Aana,0,0
1,0,0,0,0,0,0,Aandqet,0,1
1,0,0,0,0,0,0,Aanjar (Haouch Moussa),0,3
0,0,1,0,0,0,0,Aanout,0,0
0,0,1,0,0,0,0,Aanqoun,0,0
